id_municipio,uf,municipio,easting,northing
3473,PR,Renascença,-298161.038,7082146.264
3474,PR,Reserva,-92318.1,7261264.995
3475,PR,Reserva do Iguaçu,-205368.852,7124020.438
3476,PR,Ribeirão Claro,12525.353,7427002.458
3477,PR,Ribeirão do Pinhal,-48197.493,7400987.504
3478,PR,Rio Azul,-82245.226,7141332.185
3479,PR,Rio Bom,-154325.205,7357485.507
3480,PR,Rio Bonito do Iguaçu,-258127.784,7159565.697
3481,PR,Rio Branco do Ivaí,-141923.887,7295231.905
3482,PR,Rio Branco do Sul,65328.334,7207133.888
3483,PR,Rio Negro,19844.937,7104935.899
3484,PR,Rolândia,-151817.333,7407780.333
3485,PR,Roncador,-237456.242,7260260.259
3486,PR,Rondon,-295099.793,7389375.635
3487,PR,Rosário do Ivaí,-137451.824,7301696.202
3488,PR,Sabáudia,-171207.576,7406310.583
3489,PR,Salgado Filho,-337525.003,7077548.236
3490,PR,Salto do Itararé,26757.66,7381565.893
3491,PR,Salto do Lontra,-335366.171,7122057.401
3492,PR,Santa Amélia,-55830.411,7416675.41
3493,PR,Santa Cecília do Pavão,-91098.374,7386972.441
3494,PR,Santa Cruz de Monte Castelo,-352594.653,7437358.639
3495,PR,Santa Fé,-198637.854,7435755.976
3496,PR,Santa Helena,-445892.194,7218131.454
3497,PR,Santa Inês,-210458.571,7480071.13
3498,PR,Santa Isabel do Ivaí,-342228.838,7432547.138
3499,PR,Santa Izabel do Oeste,-351891.85,7116473.492
3500,PR,Santa Lúcia,-363320.523,7161789.968
3501,PR,Santa Maria do Oeste,-194634.206,7224336.313
3502,PR,Santa Mariana,-65358.319,7429538.912
3503,PR,Santa Mônica,-332428.793,7421295.783
3505,PR,Santa Tereza do Oeste,-372333.706,7201083.968
3506,PR,Santa Terezinha de Itaipu,-447961.027,7153347.979
3504,PR,Santana do Itararé,27924.455,7364794.387
3507,PR,Santo Antônio da Platina,-20087.337,7414587.59
3508,PR,Santo Antônio do Caiuá,-255547.734,7467021.732
3509,PR,Santo Antônio do Paraíso,-77065.384,7390111.454
3510,PR,Santo Antônio do Sudoeste,-374728.286,7086729.242
3511,PR,Santo Inácio,-199271.721,7474114.405
3532,PR,Sapopema,-68565.172,7344733.253
3533,PR,Sarandi,-203499.821,7390465.528
3534,PR,Saudade do Iguaçu,-265826.896,7136299.62
3535,PR,Sengés,46298.305,7326049.036
3536,PR,Serranópolis do Iguaçu,-413004.227,7161899.25
3537,PR,Sertaneja,-98199.331,7440543.768
3538,PR,Sertanópolis,-119523.377,7437342.701
3539,PR,Siqueira Campos,7115.962,7372012.54
3540,PR,Sulina,-276977.995,7133986.684
3512,PR,São Carlos do Ivaí,-265874.513,7401663.891
3513,PR,São Jerônimo da Serra,-86507.734,7364715.974
3518,PR,São Jorge d`Oeste,-295518.297,7133726.121
3519,PR,São Jorge do Ivaí,-246366.617,7389520.412
3520,PR,São Jorge do Patrocínio,-407530.088,7343316.603
3521,PR,São José da Boa Vista,25589.621,7347666.964
3522,PR,São José das Palmeiras,-417652.69,7222477.132
3523,PR,São José dos Pinhais,77469.108,7169527.601
3514,PR,São João,-275756.847,7121226.266
3515,PR,São João do Caiuá,-254584.219,7453852.425
3516,PR,São João do Ivaí,-195022.736,7330753.228
3517,PR,São João do Triunfo,-31793.179,7148754.665
3524,PR,São Manoel do Paraná,-282817.391,7392026.73
3525,PR,São Mateus do Sul,-39914.287,7127883.119
3526,PR,São Miguel do Iguaçu,-432378.165,7164011.348
3527,PR,São Pedro do Iguaçu,-396030.564,7212653.168
3528,PR,São Pedro do Ivaí,-199274.232,7343915.042
3529,PR,São Pedro do Paraná,-345955.911,7452314.272
3530,PR,São Sebastião da Amoreira,-89191.248,7393107.158
3531,PR,São Tomé,-276305.087,7376645.659
3541,PR,Tamarana,-122474.77,7363370.55
3542,PR,Tamboara,-266329.868,7414176.011
3543,PR,Tapejara,-304195.854,7353170.865
3544,PR,Tapira,-326797.002,7397979.356
3545,PR,Teixeira Soares,-49539.821,7182834.983
3546,PR,Telêmaco Borba,-70536.595,7298298.247
3547,PR,Terra Boa,-260246.761,7351433.249
3548,PR,Terra Rica,-284068.367,7468252.574
3549,PR,Terra Roxa,-426927.529,7298048.323
3550,PR,Tibagi,-49352.494,7277920.54
3551,PR,Tijucas do Sul,79694.237,7125215.032
3552,PR,Toledo,-386273.858,7237116.983
3553,PR,Tomazina,-4744.748,7361365.931
3554,PR,Três Barras do Paraná,-324741.678,7163313.68
3555,PR,Tunas do Paraná,87175.564,7231807.957
3556,PR,Tuneiras do Oeste,-303713.814,7338294.792
3557,PR,Tupãssi,-363724.398,7253860.095
3558,PR,Turvo,-159449.425,7214267.365
3559,PR,Ubiratã,-310623.128,7262497.565
3560,PR,Umuarama,-349802.034,7346736.186
3562,PR,Uniflor,-234352.992,7428818.38
3561,PR,União da Vitória,-108729.178,7084815.303
3563,PR,Uraí,-93588.9,7422489.648
3564,PR,Ventania,-32197.296,7308549.473
3565,PR,Vera Cruz do Oeste,-397682.971,7199053.2
3566,PR,Verê,-293513.176,7113923.113
3568,PR,Virmond,-225367.325,7173049.757
3569,PR,Vitorino,-278718.946,7071097.887
3570,PR,Wenceslau Braz,10599.563,7351383.611
3571,PR,Xambrê,-367274.679,7348967.16
3186,PR,Ângulo,-208871.142,7418032.183
3572,RJ,Angra dos Reis,569733.125,7456199.542
3573,RJ,Aperibé,800042.523,7605855.354
3574,RJ,Araruama,773687.91,7468432.61
3575,RJ,Areal,694615.053,7540688.757
3576,RJ,Armação dos Búzios,819964.733,7480473.024
3577,RJ,Arraial do Cabo,804853.164,7455887.036
3579,RJ,Barra Mansa,584803.394,7506271.728
3578,RJ,Barra do Piraí,620688.142,7514507.382
